32,51898496.7618,37251.0574964
16,46763620.3794,35848.9043428
7,92258576.6021,65300.4982491
28,247565534.949,114699.995616
18,175192915.413,120924.900794
21,210192351.576,123879.443088
10,282540546.146,94957.4004936
26,424301458.388,131618.735747
29,420197774.458,135060.741215
5,52518332.6472,44503.250386
6,96345933.4149,68853.1224433
17,128440514.645,68356.1032412
23,47399247.9636,40315.7808091
13,104871112.838,86650.0993944
14,150289673.621,96659.7622698
9,82980965.7244,44396.4567867
30,318183223.261,150822.367085
22,385640957.337,270112.441357
15,196154192.549,153447.956839
20,242739251.638,94314.5100069
25,443614070.783,176149.115741
3,113412690.564,51922.3285231
19,199876948.616,173955.150298
24,394976460.367,127338.082552
1,35160245.2776,28647.0156879
11,393219687.565,305137.927907
31,1604167351.71,430023.147272
12,69088591.7073,48691.4034413
8,258768655.809,222082.575573
27,790824749.574,571156.76559
2,279599704.872,209153.346294
4,52620569.1369,52062.8833769
10,3282963.1496,7883.37227574
